Typical Measured Spectrum of Semrock NF03-808E Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
554.4	0.95811
554.6	0.95916
554.8	0.95895
555.0	0.95757
555.2	0.95599
555.4	0.95348
555.6	0.95097
555.8	0.94909
556.0	0.94785
556.2	0.94747
556.4	0.94839
556.6	0.94997
556.8	0.95224
557.0	0.95459
557.2	0.95643
557.4	0.95745
557.6	0.95829
557.8	0.95762
558.0	0.95651
558.2	0.95419
558.4	0.95243
558.6	0.95052
558.8	0.94889
559.0	0.94926
559.2	0.95007
559.4	0.95177
559.6	0.95422
559.8	0.95693
560.0	0.95899
560.2	0.96103
560.4	0.96184
560.6	0.96185
560.8	0.96061
561.0	0.95848
561.2	0.95617
561.4	0.95364
561.6	0.95179
561.8	0.95063
562.0	0.95003
562.2	0.95065
562.4	0.95199
562.6	0.95461
562.8	0.95715
563.0	0.9594
563.2	0.96068
563.4	0.96167
563.6	0.96166
563.8	0.96009
564.0	0.9585
564.2	0.95602
564.4	0.95381
564.6	0.9521
564.8	0.95117
565.0	0.95087
565.2	0.95191
565.4	0.9533
565.6	0.95564
565.8	0.9581
566.0	0.96048
566.2	0.96225
566.4	0.96313
566.6	0.96342
566.8	0.96222
567.0	0.96078
567.2	0.95839
567.4	0.95583
567.6	0.9538
567.8	0.95258
568.0	0.95146
568.2	0.95131
568.4	0.95308
568.6	0.95457
568.8	0.9564
569.0	0.95818
569.2	0.95972
569.4	0.96004
569.6	0.9601
569.8	0.95926
570.0	0.95797
570.2	0.95623
570.4	0.9536
570.6	0.95201
570.8	0.9513
571.0	0.95129
571.2	0.95185
571.4	0.9534
571.6	0.95548
571.8	0.95795
572.0	0.9602
572.2	0.96215
572.4	0.96329
572.6	0.96325
572.8	0.96287
573.0	0.96174
573.2	0.95991
573.4	0.95777
573.6	0.95612
573.8	0.95488
574.0	0.95411
574.2	0.9548
574.4	0.95577
574.6	0.95771
574.8	0.95968
575.0	0.96195
575.2	0.96407
575.4	0.96564
575.6	0.96623
575.8	0.96588
576.0	0.96503
576.2	0.96293
576.4	0.96099
576.6	0.95891
576.8	0.95683
577.0	0.95557
577.2	0.95541
577.4	0.9555
577.6	0.9573
577.8	0.9588
578.0	0.96068
578.2	0.96317
578.4	0.96493
578.6	0.96583
578.8	0.9658
579.0	0.96587
579.2	0.96431
579.4	0.96243
579.6	0.96016
579.8	0.95794
580.0	0.95581
580.2	0.95482
580.4	0.95396
580.6	0.95441
580.8	0.95559
581.0	0.95722
581.2	0.9598
581.4	0.9614
581.6	0.96305
581.8	0.96458
582.0	0.96502
582.2	0.96458
582.4	0.96346
582.6	0.96181
582.8	0.95952
583.0	0.95745
583.2	0.95614
583.4	0.95527
583.6	0.95474
583.8	0.95525
584.0	0.95667
584.2	0.95846
584.4	0.96
584.6	0.96254
584.8	0.96432
585.0	0.96599
585.2	0.96626
585.4	0.96642
585.6	0.96565
585.8	0.96425
586.0	0.96258
586.2	0.96064
586.4	0.95912
586.6	0.95827
586.8	0.95762
587.0	0.95831
587.2	0.95857
587.4	0.96028
587.6	0.96139
587.8	0.963
588.0	0.96438
588.2	0.96496
588.4	0.96537
588.6	0.96563
588.8	0.96436
589.0	0.963
589.2	0.96149
589.4	0.95994
589.6	0.959
589.8	0.95828
590.0	0.95791
590.2	0.95875
590.4	0.95996
590.6	0.96171
590.8	0.96355
591.0	0.96525
591.2	0.96702
591.4	0.96806
591.6	0.96885
591.8	0.96853
592.0	0.96742
592.2	0.96595
592.4	0.96384
592.6	0.96226
592.8	0.95983
593.0	0.95831
593.2	0.95711
593.4	0.95649
593.6	0.95686
593.8	0.95797
594.0	0.95934
594.2	0.96097
594.4	0.96253
594.6	0.96373
594.8	0.96536
595.0	0.96595
595.2	0.96599
595.4	0.96548
595.6	0.9642
595.8	0.96317
596.0	0.96166
596.2	0.96001
596.4	0.95938
596.6	0.9584
596.8	0.95794
597.0	0.95855
597.2	0.95983
597.4	0.96157
597.6	0.96328
597.8	0.96462
598.0	0.96575
598.2	0.9668
598.4	0.96723
598.6	0.96696
598.8	0.9667
599.0	0.96556
599.2	0.96447
599.4	0.9627
599.6	0.96142
599.8	0.96024
600.0	0.95987
600.2	0.96038
600.4	0.96055
600.6	0.96162
600.8	0.96324
601.0	0.96439
601.2	0.96591
601.4	0.96665
601.6	0.9671
601.8	0.9669
602.0	0.96668
602.2	0.96517
602.4	0.96413
602.6	0.96218
602.8	0.96108
603.0	0.95973
603.2	0.95931
603.4	0.95954
603.6	0.95974
603.8	0.96071
604.0	0.96265
604.2	0.96478
604.4	0.96662
604.6	0.96819
604.8	0.96963
605.0	0.96977
605.2	0.96919
605.4	0.96881
605.6	0.96748
605.8	0.96572
606.0	0.96372
606.2	0.9613
606.4	0.95883
606.6	0.95757
606.8	0.95679
607.0	0.95691
607.2	0.95745
607.4	0.95934
607.6	0.96117
607.8	0.96319
608.0	0.96712
608.2	0.96941
608.4	0.96995
608.6	0.96917
608.8	0.9681
609.0	0.96668
609.2	0.96447
609.4	0.96211
609.6	0.96129
609.8	0.95961
610.0	0.95863
610.2	0.95881
610.4	0.95958
610.6	0.96089
610.8	0.9627
611.0	0.96448
611.2	0.96642
611.4	0.96811
611.6	0.9697
611.8	0.97062
612.0	0.97002
612.2	0.96895
612.4	0.96793
612.6	0.96592
612.8	0.96324
613.0	0.96184
613.2	0.96
613.4	0.95842
613.6	0.95771
613.8	0.95779
614.0	0.95888
614.2	0.96015
614.4	0.96233
614.6	0.96437
614.8	0.96643
615.0	0.96862
615.2	0.96985
615.4	0.97075
615.6	0.97054
615.8	0.97054
616.0	0.9686
616.2	0.9668
616.4	0.96449
616.6	0.96223
616.8	0.96031
617.0	0.95843
617.2	0.95775
617.4	0.95793
617.6	0.95789
617.8	0.95972
618.0	0.9616
618.2	0.96363
618.4	0.96626
618.6	0.96828
618.8	0.96984
619.0	0.97069
619.2	0.9713
619.4	0.97086
619.6	0.97024
619.8	0.96851
620.0	0.96629
620.2	0.96442
620.4	0.96207
620.6	0.96036
620.8	0.95929
621.0	0.95847
621.2	0.95844
621.4	0.95929
621.6	0.9603
621.8	0.96235
622.0	0.96392
622.2	0.9659
622.4	0.96798
622.6	0.96876
622.8	0.96912
623.0	0.96946
623.2	0.96826
623.4	0.96696
623.6	0.96496
623.8	0.96331
624.0	0.96166
624.2	0.95962
624.4	0.95861
624.6	0.95768
624.8	0.95715
625.0	0.95807
625.2	0.9592
625.4	0.96087
625.6	0.96271
625.8	0.96475
626.0	0.96718
626.2	0.96829
626.4	0.96955
626.6	0.96987
626.8	0.96961
627.0	0.96873
627.2	0.96711
627.4	0.96533
627.6	0.96295
627.8	0.96094
628.0	0.95947
628.2	0.95817
628.4	0.95754
628.6	0.95738
628.8	0.95776
629.0	0.95922
629.2	0.96066
629.4	0.96185
629.6	0.96394
629.8	0.96609
630.0	0.96725
630.2	0.96829
630.4	0.96832
630.6	0.96752
630.8	0.96716
631.0	0.9659
631.2	0.96374
631.4	0.96185
631.6	0.96034
631.8	0.95855
632.0	0.95715
632.2	0.9566
632.4	0.95599
632.6	0.95668
632.8	0.95802
633.0	0.95823
633.2	0.96046
633.4	0.9624
633.6	0.96387
633.8	0.96512
634.0	0.96643
634.2	0.96627
634.4	0.96618
634.6	0.96561
634.8	0.96404
635.0	0.96335
635.2	0.96173
635.4	0.96007
635.6	0.95924
635.8	0.95824
636.0	0.95738
636.2	0.95791
636.4	0.95847
636.6	0.95965
636.8	0.96156
637.0	0.96322
637.2	0.96469
637.4	0.9663
637.6	0.96756
637.8	0.96817
638.0	0.96844
638.2	0.96756
